titel,prijs,locatie,heeft_tuin,heeft_terras,heeft_zonnepanelen,afstand_centrum,buurtveiligheid,staat_pand,bouwjaar,slaapkamers,oppervlakte_slaapkamer_1,oppervlakte_slaapkamer_2,oppervlakte_slaapkamer_3,oppervlakte_slaapkamer_4,oppervlakte_slaapkamer_5,oppervlakte_slaapkamer_6,oppervlakte,bewoonbare_opp,oppervlakte_woonruimte,zolder,oppervlakte_zolder,kelder,oppervlakte_kelder,garage,aantal_garages,aantal_parkeerplaatsen,bemeubeld,oppervlakte_keuken,keukenuitrusting,badkamers,aantal_douchecabines,aantal_baden,aantal_toiletten,type_verwarming,type_glas,lift,toegang_mindervaliden,aantal_gevels,breedte_voorgevel,aantal_verdiepingen,terras,oppervlakte_terras,totale_opp,diepte_perceel,breedte_voorkant_terras,aansluiting_riolering,aansluiting_waterleiding,aansluiting_gasleiding,zwembad,tuin
Huis te koop,225000,6540 Lobbes,0,0,0,5.0,7,Te renoveren,1950,3,None,None,None,None,None,None,180.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),585000,9800 Bachte-Maria-Leerne,0,0,0,5.0,7,Nieuw pand,None,4,None,None,None,None,None,None,209.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,570000,3090 Overijse,0,0,0,5.0,7,Normaal,1963,4,None,None,None,None,None,None,287.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,129000,6000 Charleroi,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,121.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelspand te koop,215000,6060 Gilly,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis gemengd gebruik te koop,215000,6060 Gilly,0,0,0,5.0,7,Normaal,None,5,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,575000,1330 Rixensart,0,0,0,5.0,7,Te renoveren,1967,5,None,None,None,None,None,None,201.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,289000,6001 Marcinelle,0,0,0,5.0,7,Normaal,1957,5,None,None,None,None,None,None,260.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,215000,5000 Namen,0,0,0,5.0,7,Normaal,1968,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,320000,7120 Vellereille-les-Brayeux,0,0,0,5.0,7,None,None,3,None,None,None,None,None,None,124.0,124.0,None,None,None,None,None,Ja,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Garagebox te koop,25000,6567 Merbes-le-Château,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,3,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,249000,5660 Brûly-de-Pesche,0,0,0,5.0,7,Normaal,2000,2,None,None,None,None,None,None,131.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelspand te koop,99000,5060 Sambreville,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,187.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,249000,7380 Quiévrain,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,253.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,62000,5540 Hastière-Lavaux,0,0,0,5.0,7,Normaal,1989,2,None,None,None,None,None,None,42.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Kantoor te koop,320000,2960 Sint-Job-in-'t-Goor,0,0,0,5.0,7,Normaal,1992,2,None,None,None,None,None,None,199.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,499000,2328 Meerle,0,0,0,5.0,7,None,1974,4,None,None,None,None,None,None,185.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,474900,2390 Malle,0,0,0,5.0,7,Normaal,1960,4,None,None,None,None,None,None,90.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,395000,2980 Zoersel,0,0,0,5.0,7,Te renoveren,1963,4,None,None,None,None,None,None,156.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,199000,2980 Halle,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,856.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,279000,2980 Zoersel,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,901.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,340000,9111 Belsele,0,0,0,5.0,7,Uitstekend,1961,3,None,None,None,None,None,None,182.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,290000,2320 Hoogstraten,0,0,0,5.0,7,Nieuw pand,2000,1,None,None,None,None,None,None,70.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Landbouwgrond te koop,127500,2322 Minderhout,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,29933.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,249900,8370 Blankenberge,0,0,0,5.0,7,None,None,4,None,None,None,None,None,None,104.0,151.0,None,Ja,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,245000,2300 Turnhout,0,0,0,5.0,7,Normaal,1981,3,None,None,None,None,None,None,152.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,214000,2300 Turnhout,0,0,0,5.0,7,Normaal,2004,2,None,None,None,None,None,None,97.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,518500,2812 Muizen,0,0,0,5.0,7,Nieuw pand,2025,3,None,None,None,None,None,None,167.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,494500,2812 Muizen,0,0,0,5.0,7,Nieuw pand,2024,3,None,None,None,None,None,None,167.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,505000,2812 Muizen,0,0,0,5.0,7,Nieuw pand,2025,3,None,None,None,None,None,None,169.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,599000,2300 Turnhout,0,0,0,5.0,7,Normaal,1995,2,None,None,None,None,None,None,253.0,80.0,None,None,None,None,None,None,2,2,None,None,None,4,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,473000,2812 Muizen,0,0,0,5.0,7,Nieuw pand,2025,3,None,None,None,None,None,None,144.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,205000,2300 Turnhout,0,0,0,5.0,7,Normaal,1986,2,None,None,None,None,None,None,96.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,399000,2801 Heffen,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,1450.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,390000,2800 Mechelen,0,0,0,5.0,7,Normaal,None,3,None,None,None,None,None,None,89.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,109000,9660 Brakel,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,568.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Kantoor te koop,395000,9920 Lievegem,0,0,0,5.0,7,Uitstekend,1992,2,None,None,None,None,None,None,281.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,249000,5300 Andenne,0,0,0,5.0,7,Te renoveren,1961,3,None,None,None,None,None,None,85.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,219000,8531 Hulste,0,0,0,5.0,7,Te renoveren,1937,3,None,None,None,None,None,None,100.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,170000,8800 Roeselare,0,0,0,5.0,7,Uitstekend,None,2,None,None,None,None,None,None,85.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelsfonds te koop,299000,8770 Ingelmunster,0,0,0,5.0,7,Uitstekend,None,2,None,None,None,None,None,None,487.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,180000,8520 Kuurne,0,0,0,5.0,7,Normaal,1984,2,None,None,None,None,None,None,103.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,235000,1470 Genappe,0,0,0,5.0,7,Normaal,None,1,None,None,None,None,None,None,70.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Penthouse te koop,345000,1348 Louvain-la-Neuve,0,0,0,5.0,7,None,None,1,None,None,None,None,None,None,75.0,75.0,None,None,None,None,None,None,2,2,Nee,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,375000,9810 Nazareth,0,0,0,5.0,7,Nieuw pand,None,2,None,None,None,None,None,None,25.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,225000,4000 Luik,0,0,0,5.0,7,Volledig gerenoveerd,None,3,None,None,None,None,None,None,58.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,314000,2260 Westerlo,0,0,0,5.0,7,Normaal,2004,2,None,None,None,None,None,None,105.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,299000,2440 Geel,0,0,0,5.0,7,Normaal,2006,3,None,None,None,None,None,None,110.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Duplex te koop,169000,5500 Dinant,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,9.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,169000,5500 Dinant,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,124.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,200000,7700 Moeskroen,0,0,0,5.0,7,None,1930,2,None,None,None,None,None,None,164.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,325000,3020 Herent,0,0,0,5.0,7,None,None,1,13 m²,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,Nee,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,160000,1130 Haren,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,201.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Chalet te koop,99000,4990 Lierneux,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,57.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelspand te koop,575000,1020 Laken,0,0,0,5.0,7,Normaal,1920,2,None,None,None,None,None,None,100.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,99000,5500 Dinant,0,0,0,5.0,7,Te renoveren,None,1,None,None,None,None,None,None,71.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,120000,6230 Obaix,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,787.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis gemengd gebruik te koop,449000,6000 Charleroi,0,0,0,5.0,7,Uitstekend,None,6,None,None,None,None,None,None,380.0,80.0,None,None,None,None,None,None,2,2,None,None,None,6,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,799000,3090 Overijse,0,0,0,5.0,7,Te renoveren,1930,4,None,None,None,None,None,None,399.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,95000,7110 Strépy-Bracquegnies,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,122.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop (Nieuwbouwproject),252926,7130 Binche,0,0,0,5.0,7,None,2023,2,None,None,None,None,None,None,11.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),347851,7130 Binche,0,0,0,5.0,7,None,2025,3,None,None,None,None,None,None,193.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),327851,7130 Binche,0,0,0,5.0,7,None,2025,3,None,None,None,None,None,None,193.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),327851,7130 Binche,0,0,0,5.0,7,None,2025,3,None,None,None,None,None,None,193.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,595000,9550 Herzele,0,0,0,5.0,7,Normaal,None,5,None,None,None,None,None,None,1975.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,499000,5020 Malonne,0,0,0,5.0,7,Normaal,1998,5,None,None,None,None,None,None,175.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Gelijkvloers te koop,169000,9690 Kluisbergen,0,0,0,5.0,7,None,1978,2,None,None,None,None,None,None,95.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,205000,5380 Franc-Waret,0,0,0,5.0,7,Te renoveren,1850,3,None,None,None,None,None,None,120.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,262985,5300 Andenne,0,0,0,5.0,7,Nieuw pand,2025,2,None,None,None,None,None,None,12.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,251629,5300 Andenne,0,0,0,5.0,7,Nieuw pand,2025,2,None,None,None,None,None,None,11.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,242280,5300 Andenne,0,0,0,5.0,7,Nieuw pand,2025,2,None,None,None,None,None,None,12.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,379000,8210 Zedelgem,0,0,0,5.0,7,Nieuw pand,2024,2,None,None,None,None,None,None,93.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,35000,6010 Couillet,0,0,0,5.0,7,Nieuw pand,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,385000,2260 Westerlo,0,0,0,5.0,7,Normaal,1933,3,None,None,None,None,None,None,133.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,320000,3270 Scherpenheuvel,0,0,0,5.0,7,Normaal,1953,3,None,None,None,None,None,None,143.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,155000,2440 Geel,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,547.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),943497,8000 Brugge,0,0,0,5.0,7,Nieuw pand,None,3,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,265000,2860 Sint-Katelijne-Waver,0,0,0,5.0,7,Te renoveren,1930,3,None,None,None,None,None,None,132.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,539000,2220 Heist-op-den-Berg,0,0,0,5.0,7,Nieuw pand,None,5,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelsfonds te koop,425000,9000 Gent,0,0,0,2.5,7,Te renoveren,None,2,None,None,None,None,None,None,32.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),389518,8650 Houthulst,0,0,0,5.0,7,Nieuw pand,None,3,None,None,None,None,None,None,166.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,349000,9970 Kaprijke,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,81.0,80.0,None,Ja,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,175000,9680 Maarkedal,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,1810.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,430000,2800 Mechelen,0,0,0,5.0,7,Normaal,1953,3,None,None,None,None,None,None,186.0,80.0,None,None,None,None,None,None,2,2,None,None,None,3,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,259000,2570 Duffel,0,0,0,5.0,7,Te renoveren,1850,2,None,None,None,None,None,None,100.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelsfonds te koop,1450000,2630 Aartselaar,0,0,0,5.0,7,Normaal,1977,2,None,None,None,None,None,None,997.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,398000,2570 Duffel,0,0,0,5.0,7,Normaal,1968,3,None,None,None,None,None,None,241.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,0,9550 Herzele,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,8501.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,320000,5680 Soulme,0,0,0,5.0,7,Normaal,None,5,None,None,None,None,None,None,180.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,525000,9400 Ninove,0,0,0,5.0,7,Normaal,None,4,None,None,None,None,None,None,1499.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,1275000,1210 Sint-Joost-ten-Node,0,0,0,5.0,7,Te renoveren,1900,2,None,None,None,None,None,None,489.0,80.0,None,None,None,None,None,None,2,2,None,None,None,8,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,119000,4100 Seraing,0,0,0,5.0,7,None,None,4,None,None,None,None,None,None,83.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop (Nieuwbouwproject),245000,8480 Eernegem,0,0,0,5.0,7,None,2025,2,None,None,None,None,None,None,90.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,445000,1470 Genappe,0,0,0,5.0,7,Te renoveren,1976,4,None,None,None,None,None,None,217.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,269000,8500 Kortrijk,0,0,0,5.0,7,Uitstekend,1979,2,None,None,None,None,None,None,134.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,150000,8580 Avelgem,0,0,0,5.0,7,None,None,3,None,None,None,None,None,None,175.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,138000,9600 Ronse,0,0,0,5.0,7,Te renoveren,None,6,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelspand te koop,175000,6001 Marcinelle,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,125000,5060 Sambreville,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,890.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis gemengd gebruik te koop,995000,1070 Anderlecht,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Studio te koop,162500,1000 Brussel,0,0,0,5.0,7,Te renoveren,1970,1,None,None,None,None,None,None,6.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,589000,5170 Profondeville,0,0,0,5.0,7,Volledig gerenoveerd,None,3,None,None,None,None,None,None,170.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
